"Year","Recipient country","ODA Grants","ODA Loans","Share","Donor"
"2019","Honduras",19.246089,1.21982,"0%","Germany"
"2020","Honduras",28.135634,0.864293,"0%","Germany"
"2021","Honduras",20.332155,0.305671,"0%","Germany"
"2022","Honduras",20.502768,1.25368,"0%","Germany"
"2018","Sierra Leone",27.421319,0,"0%","Germany"
"2019","Sierra Leone",26.104562,0,"0%","Germany"
"2020","Sierra Leone",32.394526,0,"0%","Germany"
"2021","Sierra Leone",22.413739,0,"0%","Germany"
"2022","Sierra Leone",19.331271,0,"0%","Germany"
"2018","Sri Lanka",16.637623,2.702531,"0%","Germany"
"2019","Sri Lanka",19.753236,5.361423,"0%","Germany"
"2020","Sri Lanka",19.450445,4.500184,"0%","Germany"
"2021","Sri Lanka",17.530575,2.151394,"0%","Germany"
"2022","Sri Lanka",17.169499,0.173437,"0%","Germany"
"2018","Azerbaijan",10.251799,41.937914,"0%","Germany"
"2019","Azerbaijan",12.672735,37.575295,"0%","Germany"
"2020","Azerbaijan",13.727083,27.014112,"0%","Germany"
"2021","Azerbaijan",15.897004,0,"0%","Germany"
"2022","Azerbaijan",15.892701,0,"0%","Germany"
"2018","Kazakhstan",19.185721,0,"0%","Germany"
"2019","Kazakhstan",19.843366,0,"0%","Germany"
"2020","Kazakhstan",22.480455,0,"0%","Germany"
"2021","Kazakhstan",16.245493,2.956481,"0%","Germany"
"2022","Kazakhstan",14.876137,0,"0%","Germany"
"2018","Belarus",16.015984,0,"0%","Germany"
"2019","Belarus",15.000501,0,"0%","Germany"
"2020","Belarus",16.014668,40.595736,"0%","Germany"
"2021","Belarus",15.036757,0,"0%","Germany"
"2022","Belarus",13.641591,0,"0%","Germany"
"2018","Malaysia",16.304702,0,"0%","Germany"
"2019","Malaysia",16.285432,0,"0%","Germany"
"2020","Malaysia",15.63304,0,"0%","Germany"
"2021","Malaysia",13.313127,0,"0%","Germany"
"2022","Malaysia",13.115529,0,"0%","Germany"
"2018","Guinea",19.924155,0,"0%","Germany"
"2019","Guinea",19.746799,0,"0%","Germany"
"2020","Guinea",12.413068,0,"0%","Germany"
"2021","Guinea",11.886744,0,"0%","Germany"
"2022","Guinea",12.549191,0,"0%","Germany"
"2018","Venezuela",9.479826,0,"0%","Germany"
"2019","Venezuela",12.25606,0,"0%","Germany"
"2020","Venezuela",11.317441,0,"0%","Germany"
"2021","Venezuela",24.095863,0,"0%","Germany"
"2022","Venezuela",10.908134,0,"0%","Germany"
"2018","Argentina",28.742595,0,"0%","Germany"
"2019","Argentina",27.255619,0,"0%","Germany"
"2020","Argentina",24.84918,0,"0%","Germany"
"2021","Argentina",11.91784,0,"0%","Germany"
"2022","Argentina",8.754512,0,"0%","Germany"
"2018","Costa Rica",12.157832,0.356617,"0%","Germany"
"2019","Costa Rica",11.717787,0,"0%","Germany"
"2020","Costa Rica",13.731708,0,"0%","Germany"
"2021","Costa Rica",9.745445,0,"0%","Germany"
"2022","Costa Rica",8.324711,0,"0%","Germany"
"2018","Timor-Leste",6.898679,0,"0%","Germany"
"2019","Timor-Leste",10.706466,0,"0%","Germany"
"2020","Timor-Leste",9.954748,0,"0%","Germany"
"2021","Timor-Leste",6.038517,0,"0%","Germany"
"2022","Timor-Leste",7.216942,0,"0%","Germany"
"2018","Haiti",17.893232,0,"0%","Germany"
"2019","Haiti",12.813562,0,"0%","Germany"
"2020","Haiti",10.972231,0,"0%","Germany"
"2021","Haiti",7.213045,0,"0%","Germany"
"2022","Haiti",6.366193,0,"0%","Germany"
"2018","El Salvador",12.283642,2.929735,"0%","Germany"
"2019","El Salvador",9.413479,5.702449,"0%","Germany"
"2020","El Salvador",9.337999,0.773976,"0%","Germany"
"2021","El Salvador",7.817316,0,"0%","Germany"
"2022","El Salvador",5.809993,0,"0%","Germany"
"2018","Paraguay",6.801663,0,"0%","Germany"
"2019","Paraguay",5.601119,0,"0%","Germany"
"2020","Paraguay",5.104741,0,"0%","Germany"
"2021","Paraguay",5.469006,0,"0%","Germany"
"2022","Paraguay",5.242541,0,"0%","Germany"
"2018","Angola",4.499795,0,"0%","Germany"
"2019","Angola",4.713777,0,"0%","Germany"
"2020","Angola",4.625975,0,"0%","Germany"
"2021","Angola",5.114268,0,"0%","Germany"
"2022","Angola",5.237816,0,"0%","Germany"
"2018","Nicaragua",9.778382,4.306781,"0%","Germany"
"2019","Nicaragua",9.359698,6.9948,"0%","Germany"
"2020","Nicaragua",8.979538,2.680707,"0%","Germany"
"2021","Nicaragua",6.194659,2.357855,"0%","Germany"
"2022","Nicaragua",3.141445,1.62774,"0%","Germany"
"2018","Mauritius",1.353251,0,"0%","Germany"
"2019","Mauritius",2.018499,0,"0%","Germany"
"2020","Mauritius",2.996529,0,"0%","Germany"
"2021","Mauritius",3.946071,0,"0%","Germany"
"2022","Mauritius",4.245968,0,"0%","Germany"
"2018","Marshall Islands",1.421288,0,"0%","Germany"
"2019","Marshall Islands",0.909429,0,"0%","Germany"
"2020","Marshall Islands",2.09463,0,"0%","Germany"
"2021","Marshall Islands",1.558724,0,"0%","Germany"
"2022","Marshall Islands",4.104263,0,"0%","Germany"
"2018","Bhutan",0.741012,0,"0%","Germany"
"2019","Bhutan",1.186434,0,"0%","Germany"
"2020","Bhutan",1.681593,0,"0%","Germany"
"2021","Bhutan",2.66039,0,"0%","Germany"
"2022","Bhutan",2.686817,0,"0%","Germany"
"2018","Papua New Guinea",3.032333,0,"0%","Germany"
"2019","Papua New Guinea",3.423134,0,"0%","Germany"
"2020","Papua New Guinea",3.329443,0,"0%","Germany"
"2021","Papua New Guinea",2.842458,0,"0%","Germany"
"2022","Papua New Guinea",2.475539,0,"0%","Germany"
"2018","Dominican Republic",3.234389,4.48052,"0%","Germany"
"2019","Dominican Republic",7.02728,9.115732,"0%","Germany"
"2020","Dominican Republic",3.384068,4.284201,"0%","Germany"
"2021","Dominican Republic",2.459626,1.87887,"0%","Germany"
"2022","Dominican Republic",2.25771,0,"0%","Germany"
