"Year","Multi_short","ODA","Share","full name","country"
"2022","UNFCCC",0.112177,"0%","United Nations Framework Convention on Climate Change","Denmark"
"2022","UNOCHA",10.273868,"1%","United Nations Office of Co-ordination of Humanitarian Affairs","Denmark"
"2022","UNFPA",33.023148,"4%","United Nations Population Fund","Denmark"
"2022","WHO - assessed contributions",2.092627,"0%","World Health Organisation - assessed contributions","Denmark"
"2022","WHO - core voluntary contributions",8.806173,"1%","World Health Organisation - core voluntary contributions account","Denmark"
"2022","EC - Development Share of Budget",330.125722,"42%","European Commission - Development Share of Budget","Denmark"
"2022","EC - EDF",53.24035,"7%","European Commission - European Development Fund","Denmark"
"2022","EIB",6.490568,"1%","European Investment Bank","Denmark"
"2022","IBRD",10.985677,"1%","International Bank for Reconstruction and Development","Denmark"
"2022","IDA",60.469053,"8%","International Development Association","Denmark"
"2022","AfDB",9.587052,"1%","African Development Bank","Denmark"
"2022","African Development Fund",25.264926,"3%","African Development Fund","Denmark"
"2022","ADB",0,"0%","Asian Development Bank","Denmark"
"2022","Gavi",3.669239,"0%","Global Alliance for Vaccines and Immunization","Denmark"
"2022","GEF-Least Developed Countries Fund",4.403086,"1%","Global Environment Facility - Least Developed Countries Fund","Denmark"
"2022","GEF - Special Climate Change Fund",5.136934,"1%","Global Environment Facility - Special Climate Change Fund","Denmark"
"2022","Global Fund",18.346193,"2%","Global Fund to Fight AIDS, Tuberculosis and Malaria","Denmark"
"2022","IPCC",0.293539,"0%","Intergovernmental Panel on Climate Change","Denmark"
