Year,Multi_short,ODA,Share,full name,Donor
2021,International Development Association - Heavily Indebted Poor Countries Debt Initiative Trust Fund ,2.83,0.01%,International Development Association - Heavily Indebted Poor Countries Debt Initiative Trust Fund ,Austria
2021,World Health Organisation - assessed contributions,2.64,0.0%,World Health Organisation - assessed contributions,Austria
2021,United Nations Office of the High Commissioner for Refugees,2.63,0.0%,United Nations Office of the High Commissioner for Refugees,Austria
2021,Council of Europe,2.61,0.0%,Council of Europe,Austria
2021,International Organisation for Migration ,2.22,0.0%,International Organisation for Migration ,Austria
2021,International Labour Organisation - Assessed Contributions,1.82,0.0%,International Labour Organisation - Assessed Contributions,Austria
2021,UNIDO,1.56,0.0%,United Nations Industrial Development Organisation ,Austria
2021,MLF-MP,1.53,0.0%,Multilateral Fund for the Implementation of the Montreal Protocol ,Austria
2021,"United Nations Educational, Scientific and Cultural Organisation",1.44,0.0%,"United Nations Educational, Scientific and Cultural Organisation",Austria
2021,UNICEF,1.22,0.0%,United Nations Children's Fund ,Austria
2021,UNDP,1.22,0.0%,United Nations Development Programme ,Austria
2021,International Atomic Energy Agency - assessed contributions,1.01,0.0%,International Atomic Energy Agency - assessed contributions,Austria
2021,International Anti-Corruption Academy,0.94,0.0%,International Anti-Corruption Academy,Austria
2021,International Atomic Energy Agency (Contributions to Technical Cooperation Fund Only),0.71,0.0%,International Atomic Energy Agency (Contributions to Technical Cooperation Fund Only),Austria
2021,UNRWA,0.49,0.0%,United Nations Relief and Works Agency for Palestine Refugees in the Near East,Austria
2021,UNEP,0.49,0.0%,United Nations Environment Programme ,Austria
2021,International Agency for Research on Cancer,0.47,0.0%,International Agency for Research on Cancer,Austria
2021,"Inter-American Development Bank, Inter-American Investment Corporation and Multilateral Investment Fund ",0.34,0.0%,"Inter-American Development Bank, Inter-American Investment Corporation and Multilateral Investment Fund ",Austria
2021,United Nations Entity for Gender Equality and the Empowerment of Women,0.31,0.0%,United Nations Entity for Gender Equality and the Empowerment of Women,Austria
2021,World Trade Organisation - Doha Development Agenda Global Trust Fund ,0.24,0.0%,World Trade Organisation - Doha Development Agenda Global Trust Fund ,Austria
2021,UNFPA,0.24,0.0%,United Nations Population Fund ,Austria
