Year,Multi_short,ODA,Share,Full Name,Donor
2022,UN,14.98,0.03%,United Nations,Belgium
2022,International Development Association - Heavily Indebted Poor Countries Debt Initiative Trust Fund ,11.99,0.02%,International Development Association - Heavily Indebted Poor Countries Debt Initiative Trust Fund ,Belgium
2022,United Nations Office of the High Commissioner for Refugees,11.24,0.02%,United Nations Office of the High Commissioner for Refugees,Belgium
2022,EIB,10.96,0.02%,European Investment Bank ,Belgium
2022,UNDP,10.68,0.02%,United Nations Development Programme ,Belgium
2022,AIIB,10.51,0.02%,Asian Infrastructure Investment Bank,Belgium
2022,UNFPA,10.12,0.02%,United Nations Population Fund ,Belgium
2022,"United Nations Department of Peace Operations - UN peacekeeping operations [only MINURSO, MINUSCA, MINUSMA, MINUJUSTH, MONUSCO, UNAMID, UNIFIL, UNISFA, UNMIK, UNMIL, UNMISS, UNOCI]. Report contributions mission by mission in CRS++.",7.9,0.01%,"United Nations Department of Peace Operations - UN peacekeeping operations [only MINURSO, MINUSCA, MINUSMA, MINUJUSTH, MONUSCO, UNAMID, UNIFIL, UNISFA, UNMIK, UNMIL, UNMISS, UNOCI]. Report contributions mission by mission in CRS++.",Belgium
2022,UNRWA,7.87,0.01%,United Nations Relief and Works Agency for Palestine Refugees in the Near East,Belgium
2022,United Nations Office of Co-ordination of Humanitarian Affairs ,6.52,0.01%,United Nations Office of Co-ordination of Humanitarian Affairs ,Belgium
2022,WFP,5.62,0.01%,World Food Programme ,Belgium
2022,United Nations Entity for Gender Equality and the Empowerment of Women,4.95,0.01%,United Nations Entity for Gender Equality and the Empowerment of Women,Belgium
2022,International Organisation of the Francophonie,4.58,0.01%,International Organisation of the Francophonie,Belgium
2022,CGIAR ,4.5,0.01%,CGIAR Fund,Belgium
2022,World Health Organisation - core voluntary contributions account,4.5,0.01%,World Health Organisation - core voluntary contributions account,Belgium
2022,UNEP,4.5,0.01%,United Nations Environment Programme ,Belgium
2022,Organization for Security and Co-operation in Europe,4.04,0.01%,Organization for Security and Co-operation in Europe,Belgium
2022,United Nations High Commissioner for Human Rights (extrabudgetary contributions only),3.94,0.01%,United Nations High Commissioner for Human Rights (extrabudgetary contributions only),Belgium
2022,International Labour Organisation - Regular Budget Supplementary Account,3.37,0.01%,International Labour Organisation - Regular Budget Supplementary Account,Belgium
2022,GAVI,3.37,0.01%,Global Alliance for Vaccines and Immunization ,Belgium
2022,Joint United Nations Programme on HIV/AIDS ,3.37,0.01%,Joint United Nations Programme on HIV/AIDS ,Belgium
2022,FAO,3.28,0.01%,Food and Agricultural Organisation,Belgium
2022,Council of Europe,3.18,0.01%,Council of Europe,Belgium
2022,World Health Organisation - assessed contributions,3.07,0.01%,World Health Organisation - assessed contributions,Belgium
2022,MLF-MP,2.33,0.0%,Multilateral Fund for the Implementation of the Montreal Protocol ,Belgium
2022,United Nations Peacebuilding Fund,2.25,0.0%,United Nations Peacebuilding Fund,Belgium
2022,International Labour Organisation - Assessed Contributions,1.91,0.0%,International Labour Organisation - Assessed Contributions,Belgium
2022,"United Nations Educational, Scientific and Cultural Organisation",1.77,0.0%,"United Nations Educational, Scientific and Cultural Organisation",Belgium
2022,International Organisation for Migration ,1.63,0.0%,International Organisation for Migration ,Belgium
2022,International Atomic Energy Agency - assessed contributions,1.16,0.0%,International Atomic Energy Agency - assessed contributions,Belgium
2022,International Atomic Energy Agency (Contributions to Technical Cooperation Fund Only),0.81,0.0%,International Atomic Energy Agency (Contributions to Technical Cooperation Fund Only),Belgium
2022,Sahel and West Africa Club ,0.22,0.0%,Sahel and West Africa Club ,Belgium
2022,United Nations Framework Convention on Climate Change ,0.16,0.0%,United Nations Framework Convention on Climate Change ,Belgium
2022,International Renewable Energy Agency,0.07,0.0%,International Renewable Energy Agency,Belgium
2022,Convention to Combat Desertification ,0.07,0.0%,Convention to Combat Desertification ,Belgium
2022,UNWTO,0.06,0.0%,World Tourism Organization,Belgium
2022,Geneva International Centre for Humanitarian Demining ,0.01,0.0%,Geneva International Centre for Humanitarian Demining ,Belgium
2023,European Commission - Development Share of Budget,694.38,1.13%,European Commission - Development Share of Budget,Belgium
2023,IDA,314.65,0.51%,International Development Association ,Belgium
2023,European Commission - European Development Fund,61.44,0.1%,European Commission - European Development Fund,Belgium
2023,ADF,37.19,0.06%,African Development Fund ,Belgium
2023,Global Environment Facility - Least Developed Countries Fund,35.14,0.06%,Global Environment Facility - Least Developed Countries Fund,Belgium
2023,International Development Association - Multilateral Debt Relief Initiative,23.3,0.04%,International Development Association - Multilateral Debt Relief Initiative,Belgium
2023,IFC,21.93,0.04%,International Finance Corporation ,Belgium
2023,GCF,21.63,0.04%,Green Climate Fund,Belgium
2023,GEF-TF,21.63,0.04%,Global Environment Facility Trust Fund,Belgium
2023,IBRD,19.89,0.03%,International Bank for Reconstruction and Development ,Belgium
2023,CERF,19.03,0.03%,Central Emergency Response Fund,Belgium
2023,UN,17.38,0.03%,United Nations,Belgium
2023,UNICEF,16.22,0.03%,United Nations Children's Fund ,Belgium
2023,"Global Fund to Fight AIDS, Tuberculosis and Malaria ",16.22,0.03%,"Global Fund to Fight AIDS, Tuberculosis and Malaria ",Belgium
2023,United Nations Office of the High Commissioner for Refugees,10.81,0.02%,United Nations Office of the High Commissioner for Refugees,Belgium
2023,EIB,10.54,0.02%,European Investment Bank ,Belgium
2023,UNDP,10.27,0.02%,United Nations Development Programme ,Belgium
2023,UNRWA,9.9,0.02%,United Nations Relief and Works Agency for Palestine Refugees in the Near East,Belgium
2023,UNFPA,9.73,0.02%,United Nations Population Fund ,Belgium
2023,AIIB,9.56,0.02%,Asian Infrastructure Investment Bank,Belgium
2023,International Labour Organisation - Assessed Contributions,7.45,0.01%,International Labour Organisation - Assessed Contributions,Belgium
2023,World Health Organisation - assessed contributions,7.44,0.01%,World Health Organisation - assessed contributions,Belgium
2023,"United Nations Department of Peace Operations - UN peacekeeping operations [only MINURSO, MINUSCA, MINUSMA, MINUJUSTH, MONUSCO, UNAMID, UNIFIL, UNISFA, UNMIK, UNMIL, UNMISS, UNOCI]. Report contributions mission by mission in CRS++.",6.67,0.01%,"United Nations Department of Peace Operations - UN peacekeeping operations [only MINURSO, MINUSCA, MINUSMA, MINUJUSTH, MONUSCO, UNAMID, UNIFIL, UNISFA, UNMIK, UNMIL, UNMISS, UNOCI]. Report contributions mission by mission in CRS++.",Belgium
2023,International Development Association - Heavily Indebted Poor Countries Debt Initiative Trust Fund ,6.56,0.01%,International Development Association - Heavily Indebted Poor Countries Debt Initiative Trust Fund ,Belgium
2023,United Nations Office of Co-ordination of Humanitarian Affairs ,6.27,0.01%,United Nations Office of Co-ordination of Humanitarian Affairs ,Belgium
2023,Organization for Security and Co-operation in Europe,5.44,0.01%,Organization for Security and Co-operation in Europe,Belgium
2023,WFP,5.41,0.01%,World Food Programme ,Belgium
2023,International Organisation of the Francophonie,4.41,0.01%,International Organisation of the Francophonie,Belgium
2023,UNEP,4.33,0.01%,United Nations Environment Programme ,Belgium
